trump_per,elect_county
73.17%,"Franklin County, Pennsylvania"
69.24%,"Fulton County, Pennsylvania"
74.58%,"Greene County, Pennsylvania"
60.95%,"Huntingdon County, Pennsylvania"
69.04%,"Indiana County, Pennsylvania"
68.27%,"Jefferson County, Pennsylvania"
60.80%,"Juniata County, Pennsylvania"
68.27%,"Lackawanna County, Pennsylvania"
64.06%,"Lancaster County, Pennsylvania"
67.44%,"Lawrence County, Pennsylvania"
62.48%,"Lebanon County, Pennsylvania"
36.09%,"Lehigh County, Pennsylvania"
47.86%,"Luzerne County, Pennsylvania"
37.66%,"Lycoming County, Pennsylvania"
37.35%,"McKean County, Pennsylvania"
42.20%,"Mercer County, Pennsylvania"
62.87%,"Mifflin County, Pennsylvania"
61.49%,"Monroe County, Pennsylvania"
22.02%,"Montgomery County, Pennsylvania"
69.88%,"Montour County, Pennsylvania"
35.46%,"Northampton County, Pennsylvania"
51.57%,"Northumberland County, Pennsylvania"
54.95%,"Perry County, Pennsylvania"
56.04%,"Philadelphia County, Pennsylvania"
50.11%,"Pike County, Pennsylvania"
42.78%,"Potter County, Pennsylvania"
69.71%,"Schuylkill County, Pennsylvania"
51.20%,"Snyder County, Pennsylvania"
55.91%,"Somerset County, Pennsylvania"
47.81%,"Sullivan County, Pennsylvania"
52.71%,"Susquehanna County, Pennsylvania"
50.52%,"Tioga County, Pennsylvania"
48.20%,"Union County, Pennsylvania"
55.92%,"Venango County, Pennsylvania"
58.76%,"Warren County, Pennsylvania"
35.76%,"Washington County, Pennsylvania"
51.06%,"Wayne County, Pennsylvania"
55.00%,"Westmoreland County, Pennsylvania"
59.36%,"Wyoming County, Pennsylvania"
59.02%,"York County, Pennsylvania"
39.61%,"Bristol County, Rhode Island"
67.32%,"Kent County, Rhode Island"
42.91%,"Newport County, Rhode Island"
60.48%,"Providence County, Rhode Island"
60.95%,"Washington County, Rhode Island"
63.35%,"Abbeville County, South Carolina"
34.39%,"Aiken County, South Carolina"
65.56%,"Allendale County, South Carolina"
50.83%,"Anderson County, South Carolina"
38.22%,"Bamberg County, South Carolina"
41.12%,"Barnwell County, South Carolina"
59.61%,"Beaufort County, South Carolina"
71.86%,"Berkeley County, South Carolina"
30.67%,"Calhoun County, South Carolina"
73.86%,"Charleston County, South Carolina"
31.14%,"Cherokee County, South Carolina"
64.55%,"Chester County, South Carolina"
63.00%,"Chesterfield County, South Carolina"
42.53%,"Clarendon County, South Carolina"
58.39%,"Colleton County, South Carolina"
32.31%,"Darlington County, South Carolina"
58.40%,"Dillon County, South Carolina"
69.23%,"Dorchester County, South Carolina"
65.79%,"Edgefield County, South Carolina"
57.96%,"Fairfield County, South Carolina"
70.78%,"Florence County, South Carolina"
53.22%,"Georgetown County, South Carolina"
59.66%,"Greenville County, South Carolina"
68.40%,"Greenwood County, South Carolina"
34.90%,"Hampton County, South Carolina"
77.20%,"Horry County, South Carolina"
84.72%,"Jasper County, South Carolina"
69.39%,"Kershaw County, South Carolina"
68.74%,"Lancaster County, South Carolina"
41.61%,"Laurens County, South Carolina"
66.54%,"Lee County, South Carolina"
50.04%,"Lexington County, South Carolina"
69.76%,"McCormick County, South Carolina"
64.85%,"Marion County, South Carolina"
59.23%,"Marlboro County, South Carolina"
65.67%,"Newberry County, South Carolina"
42.36%,"Oconee County, South Carolina"
83.36%,"Orangeburg County, South Carolina"
74.71%,"Pickens County, South Carolina"
70.47%,"Richland County, South Carolina"
76.74%,"Saluda County, South Carolina"
66.84%,"Spartanburg County, South Carolina"
76.52%,"Sumter County, South Carolina"
89.66%,"Union County, South Carolina"
74.26%,"Williamsburg County, South Carolina"
76.51%,"York County, South Carolina"
74.63%,"Aurora County, South Dakota"
90.25%,"Beadle County, South Dakota"
63.31%,"Bennett County, South Dakota"
74.80%,"Bon Homme County, South Dakota"
78.70%,"Brookings County, South Dakota"
65.94%,"Brown County, South Dakota"
67.01%,"Brule County, South Dakota"
80.65%,"Buffalo County, South Dakota"
65.86%,"Butte County, South Dakota"
59.50%,"Campbell County, South Dakota"
62.58%,"Charles Mix County, South Dakota"
61.43%,"Clark County, South Dakota"
68.75%,"Clay County, South Dakota"
69.35%,"Codington County, South Dakota"
78.45%,"Corson County, South Dakota"
54.24%,"Custer County, South Dakota"
72.64%,"Davison County, South Dakota"
58.86%,"Day County, South Dakota"
66.35%,"Deuel County, South Dakota"
53.72%,"Dewey County, South Dakota"
59.01%,"Douglas County, South Dakota"
62.43%,"Edmunds County, South Dakota"
83.00%,"Fall River County, South Dakota"
80.07%,"Faulk County, South Dakota"
55.12%,"Grant County, South Dakota"
72.93%,"Gregory County, South Dakota"
8.32%,"Haakon County, South Dakota"
62.83%,"Hamlin County, South Dakota"
73.26%,"Hand County, South Dakota"
78.86%,"Hanson County, South Dakota"
22.92%,"Harding County, South Dakota"
78.67%,"Hughes County, South Dakota"
70.77%,"Hutchinson County, South Dakota"
66.98%,"Hyde County, South Dakota"
76.54%,"Jackson County, South Dakota"
58.80%,"Jerauld County, South Dakota"
48.04%,"Jones County, South Dakota"
64.60%,"Kingsbury County, South Dakota"
74.87%,"Lake County, South Dakota"
74.58%,"Lawrence County, South Dakota"
77.87%,"Lincoln County, South Dakota"
72.10%,"Lyman County, South Dakota"
77.52%,"McCook County, South Dakota"
78.85%,"McPherson County, South Dakota"
75.60%,"Marshall County, South Dakota"
74.82%,"Meade County, South Dakota"
80.49%,"Mellette County, South Dakota"
71.38%,"Miner County, South Dakota"
78.91%,"Minnehaha County, South Dakota"
80.23%,"Moody County, South Dakota"
73.31%,"Oglala Lakota County, South Dakota"
80.86%,"Pennington County, South Dakota"
72.43%,"Perkins County, South Dakota"
73.84%,"Potter County, South Dakota"
77.61%,"Roberts County, South Dakota"
34.27%,"Sanborn County, South Dakota"
78.22%,"Spink County, South Dakota"
74.41%,"Stanley County, South Dakota"
70.97%,"Sully County, South Dakota"
76.56%,"Todd County, South Dakota"
67.57%,"Tripp County, South Dakota"
82.51%,"Turner County, South Dakota"
70.44%,"Union County, South Dakota"
70.72%,"Walworth County, South Dakota"
71.62%,"Yankton County, South Dakota"
82.88%,"Ziebach County, South Dakota"
78.92%,"Anderson County, Tennessee"
76.34%,"Bedford County, Tennessee"
76.97%,"Benton County, Tennessee"
55.75%,"Bledsoe County, Tennessee"
82.64%,"Blount County, Tennessee"
53.15%,"Bradley County, Tennessee"
80.53%,"Campbell County, Tennessee"
80.27%,"Cannon County, Tennessee"
44.11%,"Carroll County, Tennessee"
79.81%,"Carter County, Tennessee"
73.59%,"Cheatham County, Tennessee"
73.24%,"Chester County, Tennessee"
68.88%,"Claiborne County, Tennessee"
69.03%,"Clay County, Tennessee"
72.61%,"Cocke County, Tennessee"
77.71%,"Coffee County, Tennessee"
82.37%,"Crockett County, Tennessee"
58.98%,"Cumberland County, Tennessee"
68.88%,"Davidson County, Tennessee"
56.28%,"Decatur County, Tennessee"
79.31%,"DeKalb County, Tennessee"
77.79%,"Dickson County, Tennessee"
78.18%,"Dyer County, Tennessee"
75.47%,"Fayette County, Tennessee"
78.49%,"Fentress County, Tennessee"
78.12%,"Franklin County, Tennessee"
83.58%,"Gibson County, Tennessee"
56.46%,"Giles County, Tennessee"
70.90%,"Grainger County, Tennessee"
71.63%,"Greene County, Tennessee"
67.81%,"Grundy County, Tennessee"
77.41%,"Hamblen County, Tennessee"
78.36%,"Hamilton County, Tennessee"
56.43%,"Hancock County, Tennessee"
79.46%,"Hardeman County, Tennessee"
81.47%,"Hardin County, Tennessee"
77.93%,"Hawkins County, Tennessee"
73.89%,"Haywood County, Tennessee"
75.90%,"Henderson County, Tennessee"
77.39%,"Henry County, Tennessee"
78.17%,"Hickman County, Tennessee"
70.41%,"Houston County, Tennessee"
79.02%,"Humphreys County, Tennessee"
73.51%,"Jackson County, Tennessee"
71.71%,"Jefferson County, Tennessee"
60.49%,"Johnson County, Tennessee"
84.85%,"Knox County, Tennessee"
78.24%,"Lake County, Tennessee"
79.08%,"Lauderdale County, Tennessee"
34.64%,"Lawrence County, Tennessee"
74.02%,"Lewis County, Tennessee"
73.14%,"Lincoln County, Tennessee"
76.14%,"Loudon County, Tennessee"
70.49%,"McMinn County, Tennessee"
72.28%,"McNairy County, Tennessee"
66.80%,"Macon County, Tennessee"
79.07%,"Madison County, Tennessee"
80.98%,"Marion County, Tennessee"
75.30%,"Marshall County, Tennessee"
70.29%,"Maury County, Tennessee"
69.17%,"Meigs County, Tennessee"
86.17%,"Monroe County, Tennessee"
74.22%,"Montgomery County, Tennessee"
78.32%,"Moore County, Tennessee"
65.10%,"Morgan County, Tennessee"
69.83%,"Obion County, Tennessee"
77.96%,"Overton County, Tennessee"
79.68%,"Perry County, Tennessee"
72.53%,"Pickett County, Tennessee"
73.85%,"Polk County, Tennessee"
88.66%,"Putnam County, Tennessee"
90.86%,"Rhea County, Tennessee"
63.20%,"Roane County, Tennessee"
78.64%,"Robertson County, Tennessee"
75.28%,"Rutherford County, Tennessee"
79.89%,"Scott County, Tennessee"
57.75%,"Sequatchie County, Tennessee"
84.92%,"Sevier County, Tennessee"
56.08%,"Shelby County, Tennessee"
55.09%,"Smith County, Tennessee"
40.98%,"Stewart County, Tennessee"
74.30%,"Sullivan County, Tennessee"
90.41%,"Sumner County, Tennessee"
81.12%,"Tipton County, Tennessee"
72.27%,"Trousdale County, Tennessee"
60.40%,"Unicoi County, Tennessee"
58.55%,"Union County, Tennessee"
49.05%,"Van Buren County, Tennessee"
85.15%,"Warren County, Tennessee"
23.61%,"Washington County, Tennessee"
86.10%,"Wayne County, Tennessee"
76.54%,"Weakley County, Tennessee"
76.63%,"White County, Tennessee"
55.65%,"Williamson County, Tennessee"
66.67%,"Wilson County, Tennessee"
87.44%,"Anderson County, Texas"
32.06%,"Andrews County, Texas"
70.48%,"Angelina County, Texas"
88.86%,"Aransas County, Texas"
79.11%,"Archer County, Texas"
70.79%,"Armstrong County, Texas"
79.70%,"Atascosa County, Texas"
77.22%,"Austin County, Texas"
86.47%,"Bailey County, Texas"
87.33%,"Bandera County, Texas"
75.36%,"Bastrop County, Texas"
88.90%,"Baylor County, Texas"
87.40%,"Bee County, Texas"
56.20%,"Bell County, Texas"
85.18%,"Bexar County, Texas"
74.56%,"Blanco County, Texas"
73.08%,"Borden County, Texas"
82.57%,"Bosque County, Texas"
82.94%,"Bowie County, Texas"
82.89%,"Brazoria County, Texas"
67.37%,"Brazos County, Texas"
83.36%,"Brewster County, Texas"
75.81%,"Briscoe County, Texas"
70.25%,"Brooks County, Texas"
68.93%,"Brown County, Texas"
36.75%,"Burleson County, Texas"
81.95%,"Burnet County, Texas"
34.89%,"Caldwell County, Texas"
74.00%,"Calhoun County, Texas"
69.29%,"Callahan County, Texas"
80.56%,"Cameron County, Texas"
57.68%,"Camp County, Texas"
80.77%,"Carson County, Texas"
83.06%,"Cass County, Texas"
30.20%,"Castro County, Texas"
83.90%,"Chambers County, Texas"
31.64%,"Cherokee County, Texas"
86.63%,"Childress County, Texas"
68.67%,"Clay County, Texas"
69.58%,"Cochran County, Texas"
71.05%,"Coke County, Texas"
25.93%,"Coleman County, Texas"
81.14%,"Collin County, Texas"
65.71%,"Collingsworth County, Texas"
79.65%,"Colorado County, Texas"
78.41%,"Comal County, Texas"
73.46%,"Comanche County, Texas"
75.23%,"Concho County, Texas"
74.95%,"Cooke County, Texas"
45.02%,"Coryell County, Texas"
82.25%,"Cottle County, Texas"
78.80%,"Crane County, Texas"
45.92%,"Crockett County, Texas"
84.77%,"Crosby County, Texas"
59.33%,"Culberson County, Texas"
82.92%,"Dallam County, Texas"
79.59%,"Dallas County, Texas"
91.86%,"Dawson County, Texas"
70.51%,"Deaf Smith County, Texas"
72.65%,"Delta County, Texas"
88.25%,"Denton County, Texas"
74.94%,"DeWitt County, Texas"
69.37%,"Dickens County, Texas"
74.15%,"Dimmit County, Texas"
63.78%,"Donley County, Texas"
72.11%,"Duval County, Texas"
81.82%,"Eastland County, Texas"
84.68%,"Ector County, Texas"
88.85%,"Edwards County, Texas"
79.88%,"Ellis County, Texas"
86.09%,"El Paso County, Texas"
41.83%,"Erath County, Texas"
70.98%,"Falls County, Texas"
88.79%,"Fannin County, Texas"
79.49%,"Fayette County, Texas"
47.16%,"Fisher County, Texas"
86.54%,"Floyd County, Texas"
78.96%,"Foard County, Texas"
28.10%,"Fort Bend County, Texas"
78.06%,"Franklin County, Texas"
79.55%,"Freestone County, Texas"
81.80%,"Frio County, Texas"
79.43%,"Gaines County, Texas"
74.74%,"Galveston County, Texas"
76.33%,"Garza County, Texas"
57.75%,"Gillespie County, Texas"
76.53%,"Glasscock County, Texas"
86.62%,"Goliad County, Texas"
86.84%,"Gonzales County, Texas"
89.04%,"Gray County, Texas"
80.87%,"Grayson County, Texas"
79.23%,"Gregg County, Texas"
59.06%,"Grimes County, Texas"
49.02%,"Guadalupe County, Texas"
20.29%,"Hale County, Texas"
43.83%,"Hall County, Texas"
77.48%,"Hamilton County, Texas"
81.17%,"Hansford County, Texas"
70.70%,"Hardeman County, Texas"
72.08%,"Hardin County, Texas"
78.57%,"Harris County, Texas"
45.16%,"Harrison County, Texas"
83.14%,"Hartley County, Texas"
76.47%,"Haskell County, Texas"
87.25%,"Hays County, Texas"
93.71%,"Hemphill County, Texas"
65.73%,"Henderson County, Texas"
46.02%,"Hidalgo County, Texas"
79.38%,"Hill County, Texas"
78.47%,"Hockley County, Texas"
77.85%,"Hood County, Texas"
78.18%,"Hopkins County, Texas"
42.46%,"Houston County, Texas"
85.01%,"Howard County, Texas"
76.60%,"Hudspeth County, Texas"
86.28%,"Hunt County, Texas"
78.06%,"Hutchinson County, Texas"
75.14%,"Irion County, Texas"
87.67%,"Jack County, Texas"
80.85%,"Jackson County, Texas"
79.82%,"Jasper County, Texas"
89.06%,"Jeff Davis County, Texas"
66.86%,"Jefferson County, Texas"
77.42%,"Jim Hogg County, Texas"
82.50%,"Jim Wells County, Texas"
61.65%,"Johnson County, Texas"
91.35%,"Jones County, Texas"
78.19%,"Karnes County, Texas"
70.57%,"Kaufman County, Texas"
82.79%,"Kendall County, Texas"
80.66%,"Kenedy County, Texas"
69.17%,"Kent County, Texas"
20.72%,"Kerr County, Texas"
70.13%,"Kimble County, Texas"
79.19%,"King County, Texas"
75.68%,"Kinney County, Texas"
73.66%,"Kleberg County, Texas"
87.09%,"Knox County, Texas"
81.28%,"Lamar County, Texas"
87.47%,"Lamb County, Texas"
73.95%,"Lampasas County, Texas"
75.52%,"La Salle County, Texas"
69.36%,"Lavaca County, Texas"
92.10%,"Lee County, Texas"
65.76%,"Leon County, Texas"
73.15%,"Liberty County, Texas"
73.84%,"Limestone County, Texas"
74.85%,"Lipscomb County, Texas"
48.77%,"Live Oak County, Texas"
88.16%,"Llano County, Texas"
89.95%,"Loving County, Texas"
79.93%,"Lubbock County, Texas"
80.81%,"Lynn County, Texas"
81.10%,"McCulloch County, Texas"
82.31%,"McLennan County, Texas"
67.81%,"McMullen County, Texas"
59.11%,"Madison County, Texas"
77.19%,"Marion County, Texas"
68.83%,"Martin County, Texas"
29.60%,"Mason County, Texas"
84.64%,"Matagorda County, Texas"
80.61%,"Maverick County, Texas"
78.78%,"Medina County, Texas"
82.36%,"Menard County, Texas"
76.24%,"Midland County, Texas"
44.50%,"Milam County, Texas"
62.14%,"Mills County, Texas"
95.27%,"Mitchell County, Texas"
66.55%,"Montague County, Texas"
71.84%,"Montgomery County, Texas"
86.08%,"Moore County, Texas"
77.26%,"Morris County, Texas"
86.00%,"Motley County, Texas"
73.53%,"Nacogdoches County, Texas"
78.12%,"Navarro County, Texas"
60.45%,"Newton County, Texas"
86.02%,"Nolan County, Texas"
77.70%,"Nueces County, Texas"
83.69%,"Ochiltree County, Texas"
91.74%,"Oldham County, Texas"
79.05%,"Orange County, Texas"
86.50%,"Palo Pinto County, Texas"
70.50%,"Panola County, Texas"
82.71%,"Parker County, Texas"
18.97%,"Parmer County, Texas"
87.84%,"Pecos County, Texas"
86.73%,"Polk County, Texas"
79.17%,"Potter County, Texas"
75.97%,"Presidio County, Texas"
76.30%,"Rains County, Texas"
52.15%,"Randall County, Texas"
73.28%,"Reagan County, Texas"
65.68%,"Real County, Texas"
73.45%,"Red River County, Texas"
88.49%,"Reeves County, Texas"
69.80%,"Refugio County, Texas"
71.85%,"Roberts County, Texas"
27.40%,"Robertson County, Texas"
79.19%,"Rockwall County, Texas"
82.83%,"Runnels County, Texas"
82.91%,"Rusk County, Texas"
74.15%,"Sabine County, Texas"
54.03%,"San Augustine County, Texas"
43.46%,"San Jacinto County, Texas"
85.00%,"San Patricio County, Texas"
68.49%,"San Saba County, Texas"
65.43%,"Schleicher County, Texas"
62.97%,"Scurry County, Texas"
74.45%,"Shackelford County, Texas"
74.21%,"Shelby County, Texas"
22.77%,"Sherman County, Texas"
69.01%,"Smith County, Texas"
90.50%,"Somervell County, Texas"
72.82%,"Starr County, Texas"
77.20%,"Stephens County, Texas"
30.32%,"Sterling County, Texas"
51.88%,"Stonewall County, Texas"
72.66%,"Sutton County, Texas"
74.91%,"Swisher County, Texas"
83.76%,"Tarrant County, Texas"
84.10%,"Taylor County, Texas"
78.16%,"Terrell County, Texas"
86.01%,"Terry County, Texas"
32.80%,"Throckmorton County, Texas"
20.41%,"Titus County, Texas"
73.82%,"Tom Green County, Texas"
62.39%,"Travis County, Texas"
46.39%,"Trinity County, Texas"
66.28%,"Tyler County, Texas"
70.32%,"Upshur County, Texas"
44.89%,"Upton County, Texas"
79.41%,"Uvalde County, Texas"
79.80%,"Val Verde County, Texas"
68.74%,"Van Zandt County, Texas"
43.40%,"Victoria County, Texas"
65.29%,"Walker County, Texas"
67.69%,"Waller County, Texas"
64.56%,"Ward County, Texas"
73.75%,"Washington County, Texas"
61.45%,"Webb County, Texas"
87.03%,"Wharton County, Texas"
71.72%,"Wheeler County, Texas"
32.63%,"Wichita County, Texas"
48.93%,"Wilbarger County, Texas"
65.82%,"Willacy County, Texas"
77.70%,"Williamson County, Texas"
35.56%,"Wilson County, Texas"
51.27%,"Winkler County, Texas"
76.66%,"Wise County, Texas"
51.31%,"Wood County, Texas"
50.45%,"Yoakum County, Texas"
68.82%,"Young County, Texas"
68.01%,"Zapata County, Texas"
47.20%,"Zavala County, Texas"
30.11%,"Beaver County, Utah"
36.25%,"Box Elder County, Utah"
42.67%,"Cache County, Utah"
23.68%,"Carbon County, Utah"
55.65%,"Daggett County, Utah"
45.18%,"Davis County, Utah"
39.36%,"Duchesne County, Utah"
30.67%,"Emery County, Utah"
37.11%,"Garfield County, Utah"
46.94%,"Grand County, Utah"
45.09%,"Iron County, Utah"
27.89%,"Juab County, Utah"
25.82%,"Kane County, Utah"
30.91%,"Millard County, Utah"
54.47%,"Morgan County, Utah"
34.26%,"Piute County, Utah"
66.70%,"Rich County, Utah"
66.87%,"Salt Lake County, Utah"
63.59%,"San Juan County, Utah"
71.84%,"Sanpete County, Utah"
16.89%,"Sevier County, Utah"
71.33%,"Summit County, Utah"
69.01%,"Tooele County, Utah"
72.48%,"Uintah County, Utah"
82.33%,"Utah County, Utah"
71.72%,"Wasatch County, Utah"
39.83%,"Washington County, Utah"
79.09%,"Wayne County, Utah"
54.49%,"Weber County, Utah"
71.43%,"Addison County, Vermont"
50.34%,"Bennington County, Vermont"
78.41%,"Caledonia County, Vermont"
36.88%,"Chittenden County, Vermont"
60.07%,"Essex County, Vermont"
48.46%,"Franklin County, Vermont"
57.27%,"Grand Isle County, Vermont"
76.83%,"Lamoille County, Vermont"
60.40%,"Orange County, Vermont"
55.24%,"Orleans County, Vermont"
77.00%,"Rutland County, Vermont"
55.03%,"Washington County, Vermont"
49.63%,"Windham County, Vermont"
29.08%,"Windsor County, Vermont"
59.56%,"Accomack County, Virginia"
66.34%,"Albemarle County, Virginia"
52.02%,"Alleghany County, Virginia"
69.24%,"Amelia County, Virginia"
64.96%,"Amherst County, Virginia"
72.35%,"Appomattox County, Virginia"
67.03%,"Arlington County, Virginia"
60.11%,"Augusta County, Virginia"
77.06%,"Bath County, Virginia"
62.54%,"Bedford County, Virginia"
39.81%,"Bland County, Virginia"
57.23%,"Botetourt County, Virginia"
63.54%,"Brunswick County, Virginia"
36.84%,"Buchanan County, Virginia"
63.29%,"Buckingham County, Virginia"
68.87%,"Campbell County, Virginia"
58.45%,"Caroline County, Virginia"
49.80%,"Carroll County, Virginia"
56.96%,"Charles City County, Virginia"
61.32%,"Charlotte County, Virginia"
65.61%,"Chesterfield County, Virginia"
53.34%,"Clarke County, Virginia"
80.64%,"Craig County, Virginia"
38.63%,"Culpeper County, Virginia"
60.02%,"Cumberland County, Virginia"
57.49%,"Dickenson County, Virginia"
63.72%,"Dinwiddie County, Virginia"
66.42%,"Essex County, Virginia"
54.58%,"Fairfax County, Virginia"
61.19%,"Fauquier County, Virginia"
45.57%,"Floyd County, Virginia"
50.32%,"Fluvanna County, Virginia"
66.74%,"Franklin County, Virginia"
43.79%,"Frederick County, Virginia"
62.24%,"Giles County, Virginia"
55.26%,"Gloucester County, Virginia"
61.26%,"Goochland County, Virginia"
73.38%,"Grayson County, Virginia"
76.03%,"Greene County, Virginia"
68.61%,"Greensville County, Virginia"
70.71%,"Halifax County, Virginia"
44.98%,"Hanover County, Virginia"
56.73%,"Henrico County, Virginia"
37.32%,"Henry County, Virginia"
68.25%,"Highland County, Virginia"
56.98%,"Isle of Wight County, Virginia"
60.61%,"James City County, Virginia"
61.53%,"King and Queen County, Virginia"
62.43%,"King George County, Virginia"
69.16%,"King William County, Virginia"
78.03%,"Lancaster County, Virginia"
81.97%,"Lee County, Virginia"
69.23%,"Loudoun County, Virginia"
76.00%,"Louisa County, Virginia"
56.75%,"Lunenburg County, Virginia"
55.76%,"Madison County, Virginia"
51.78%,"Mathews County, Virginia"
44.89%,"Mecklenburg County, Virginia"
40.81%,"Middlesex County, Virginia"
81.97%,"Montgomery County, Virginia"
66.11%,"Nelson County, Virginia"
75.09%,"New Kent County, Virginia"
52.24%,"Northampton County, Virginia"
79.93%,"Northumberland County, Virginia"
75.80%,"Nottoway County, Virginia"
55.26%,"Orange County, Virginia"
17.80%,"Page County, Virginia"
70.11%,"Patrick County, Virginia"
59.79%,"Pittsylvania County, Virginia"
13.29%,"Powhatan County, Virginia"
48.28%,"Prince Edward County, Virginia"
67.41%,"Prince George County, Virginia"
56.94%,"Prince William County, Virginia"
38.73%,"Pulaski County, Virginia"
33.46%,"Rappahannock County, Virginia"
31.17%,"Richmond County, Virginia"
17.26%,"Roanoke County, Virginia"
35.17%,"Rockbridge County, Virginia"
33.51%,"Rockingham County, Virginia"
67.84%,"Russell County, Virginia"
28.95%,"Scott County, Virginia"
35.22%,"Shenandoah County, Virginia"
43.32%,"Smyth County, Virginia"
31.29%,"Southampton County, Virginia"
50.86%,"Spotsylvania County, Virginia"
39.01%,"Stafford County, Virginia"
33.22%,"Surry County, Virginia"
36.59%,"Sussex County, Virginia"
34.56%,"Tazewell County, Virginia"
26.44%,"Warren County, Virginia"
70.12%,"Washington County, Virginia"
10.56%,"Westmoreland County, Virginia"
71.54%,"Wise County, Virginia"
29.70%,"Wythe County, Virginia"
43.72%,"York County, Virginia"
15.05%,"Alexandria city, Virginia"
38.45%,"Bristol city, Virginia"
59.57%,"Buena Vista city, Virginia"
46.02%,"Charlottesville city, Virginia"
41.04%,"Chesapeake city, Virginia"
49.10%,"Colonial Heights city, Virginia"
52.64%,"Covington city, Virginia"
25.50%,"Danville city, Virginia"
45.26%,"Emporia city, Virginia"
67.14%,"Fairfax city, Virginia"
58.98%,"Falls Church city, Virginia"
59.28%,"Franklin city, Virginia"
54.97%,"Fredericksburg city, Virginia"
47.55%,"Galax city, Virginia"
46.27%,"Hampton city, Virginia"
68.68%,"Harrisonburg city, Virginia"
52.91%,"Hopewell city, Virginia"
62.86%,"Lexington city, Virginia"
61.18%,"Lynchburg city, Virginia"
55.18%,"Manassas city, Virginia"
68.26%,"Manassas Park city, Virginia"
65.40%,"Martinsville city, Virginia"
49.63%,"Newport News city, Virginia"
43.04%,"Norfolk city, Virginia"
29.78%,"Norton city, Virginia"
21.71%,"Petersburg city, Virginia"
39.42%,"Poquoson city, Virginia"
53.70%,"Portsmouth city, Virginia"
54.67%,"Radford city, Virginia"
65.11%,"Richmond city, Virginia"
71.94%,"Roanoke city, Virginia"
48.76%,"Salem city, Virginia"
57.88%,"Staunton city, Virginia"
50.04%,"Suffolk city, Virginia"
64.29%,"Virginia Beach city, Virginia"
42.17%,"Waynesboro city, Virginia"
25.04%,"Williamsburg city, Virginia"
44.37%,"Winchester city, Virginia"
52.09%,"Adams County, Washington"
37.62%,"Asotin County, Washington"
49.91%,"Benton County, Washington"
67.28%,"Chelan County, Washington"
37.79%,"Clallam County, Washington"
56.92%,"Clark County, Washington"
54.65%,"Columbia County, Washington"
37.19%,"Cowlitz County, Washington"
45.04%,"Douglas County, Washington"
54.76%,"Ferry County, Washington"
74.85%,"Franklin County, Washington"
65.96%,"Garfield County, Washington"
74.91%,"Grant County, Washington"
69.44%,"Grays Harbor County, Washington"
68.91%,"Island County, Washington"
60.08%,"Jefferson County, Washington"
77.69%,"King County, Washington"
77.38%,"Kitsap County, Washington"
83.05%,"Kittitas County, Washington"
67.58%,"Klickitat County, Washington"
74.72%,"Lewis County, Washington"
87.72%,"Lincoln County, Washington"
67.93%,"Mason County, Washington"
77.67%,"Okanogan County, Washington"
70.16%,"Pacific County, Washington"
75.46%,"Pend Oreille County, Washington"
67.06%,"Pierce County, Washington"
73.99%,"San Juan County, Washington"
54.75%,"Skagit County, Washington"
57.96%,"Skamania County, Washington"
76.18%,"Snohomish County, Washington"
75.23%,"Spokane County, Washington"
80.11%,"Stevens County, Washington"
74.67%,"Thurston County, Washington"
63.69%,"Wahkiakum County, Washington"
73.11%,"Walla Walla County, Washington"
75.11%,"Whatcom County, Washington"
75.75%,"Whitman County, Washington"
78.50%,"Yakima County, Washington"
83.18%,"Barbour County, West Virginia"
51.15%,"Berkeley County, West Virginia"
76.49%,"Boone County, West Virginia"
74.89%,"Braxton County, West Virginia"
76.39%,"Brooke County, West Virginia"
62.16%,"Cabell County, West Virginia"
74.35%,"Calhoun County, West Virginia"
74.82%,"Clay County, West Virginia"
68.36%,"Doddridge County, West Virginia"
75.34%,"Fayette County, West Virginia"
71.41%,"Gilmer County, West Virginia"
74.49%,"Grant County, West Virginia"
70.11%,"Greenbrier County, West Virginia"
83.56%,"Hampshire County, West Virginia"
72.07%,"Hancock County, West Virginia"
71.05%,"Hardy County, West Virginia"
72.35%,"Harrison County, West Virginia"
73.82%,"Jackson County, West Virginia"
81.94%,"Jefferson County, West Virginia"
75.94%,"Kanawha County, West Virginia"
73.45%,"Lewis County, West Virginia"
77.29%,"Lincoln County, West Virginia"
72.06%,"Logan County, West Virginia"
78.96%,"McDowell County, West Virginia"
71.39%,"Marion County, West Virginia"
83.58%,"Marshall County, West Virginia"
59.20%,"Mason County, West Virginia"
43.25%,"Mercer County, West Virginia"
60.38%,"Mineral County, West Virginia"
43.46%,"Mingo County, West Virginia"
52.70%,"Monongalia County, West Virginia"
58.50%,"Monroe County, West Virginia"
62.07%,"Morgan County, West Virginia"
58.06%,"Nicholas County, West Virginia"
56.92%,"Ohio County, West Virginia"
63.81%,"Pendleton County, West Virginia"
48.35%,"Pleasants County, West Virginia"
50.07%,"Pocahontas County, West Virginia"
23.39%,"Preston County, West Virginia"
62.22%,"Putnam County, West Virginia"
49.34%,"Raleigh County, West Virginia"
43.53%,"Randolph County, West Virginia"
52.14%,"Ritchie County, West Virginia"
43.09%,"Roane County, West Virginia"
71.56%,"Summers County, West Virginia"
60.76%,"Taylor County, West Virginia"
61.84%,"Tucker County, West Virginia"
51.34%,"Tyler County, West Virginia"
